Minister,Date,Name of Organisation,Purpose of meeting,,,,,,,,,,,
"Prime Minister, The Rt Hon David Cameron MP",July,"Siemens, Dong, EOn, Masdar, London Array",Opening the London Array,,,,,,,,,,,
,July,"Battersea Power Station Development Company, S P Setia",To discuss the Battersea development project,,,,,,,,,,,
,July,"Deborah Turness, ITV ",General discussion,,,,,,,,,,,
,July,"Royal British Legion, The Confederation of Service Organisations, Soldiers, Sailors, Airmen and Families Association, RAF Families’ Federation, Navy Families’ Federation, Army Families’ Federation, Oxford University, War Widows Association ",Armed Forces Covenant discussion ,,,,,,,,,,,
,July,"David Dinsmore, The Sun",General discussion,,,,,,,,,,,
,July,"M&S; ATG Access; BTG; Dale Murray, Kingfisher; Diageo",Meeting of the EU business taskforce,,,,,,,,,,,
,July,Remembering Srebrenica,To discuss international policy on Bosnia and the response to the Srebenica massacre,,,,,,,,,,,
,July,Siemens,Visit to Siemens factory in Lincoln,,,,,,,,,,,
,July,Victims of Crime,Discussion on Crime ,,,,,,,,,,,
,July,NSPCC,Online Protection,,,,,,,,,,,
,July,"Volkswagen, Bentley",Visit to Bentley Factory in Crewe,,,,,,,,,,,
,July,"American Express UK, EVP",General discussion,,,,,,,,,,,
,July,The Big Society Network,To discuss the latest developments on The Big Society,,,,,,,,,,,
,July,Royal Mail,General discussion,,,,,,,,,,,
,August,Jamia Mosque,Eid Celebrations,,,,,,,,,,,
,August,"James Harding, BBC",General discussion,,,,,,,,,,,
,September,"Zodiac Maritime Agencies Ltd, CMA CGM (UK) Holdings Ltd, Evergreen Marine (UK) Ltd, Carnival UK/P&O Cruises (UK), Stena Line Ltd, Latsco, Frontline Management AS, Tsakos Energy Navigation Ltd, Greek Shipping Co-operation Committee,  Sovcomflot, Siem Industries, NYK-Hinode Line Ltd, Clarksons plc, International Underwriting Association, Watson Farley Williams, Maritime UK, The Baltic Exchange, UK Chamber of Shipping ",Roundtable for London International Shipping Week,,,,,,,,,,,
,September,BAE Systems,General discussion,,,,,,,,,,,
,September,"Burberry, Centrica, Kingfisher, Tesco, Dyson, EADS, Thomas Cook, TalkTalk, BAE Systems, CBI, All3Media, Prudential, GSK",Meeting with the Business Advisory Group,,,,,,,,,,,
,September,"Warner Music, Universal Music UK, Sony Music Entertainment UK, Dramatico, Infectious Music, BPI, UK Music, Spotify, Beggers Group",Business breakfast with the music industry,,,,,,,,,,,
,September,"Andleeb Hanif (Asian Express), George Ruddock (The Voice), Stephen Pollard (Jewish Chronicle), A Azeez (Asian Lite), Rithika Siddhartha (Eastern Eye, Asian Media & Marketing Group), S S Virk (Des Pardes), Henry Bonsu (Colourful Radio), Mark Strippel, (BBC Asian Network), Mike Abiola, (African Voice), Mohammed Shafiq (Ummah Channel), Ahmed Malik (Muslim Weekly), Rahool Joglekar (NDTV), Murtaza Ali Shah (Daily Jang/GEO)",Roundtable with BME media outlets,,,,,,,,,,,
,September,"David Wooding, Victoria Newton, Sun on Sunday",General discussion,,,,,,,,,,,
,September,"Geordie Greig, Simon Walters, Mail on Sunday",General discussion,,,,,,,,,,,
,September,"Paul Dacre, Daily Mail ",General discussion,,,,,,,,,,,
,September,Active Change Foundation,Incident involving British national overseas,,,,,,,,,,,
,September,"John Witherow, The Times",General discussion,,,,,,,,,,,
,September,"Tony Gallagher, Murdoch Maclennan, Ian MacGregor, Telegraph Group",General discussion,,,,,,,,,,,
,September,"David Dinsmore, The Sun",General discussion,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,
"Does not normally include meetings with Government bodies such as other Government departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.",,,,,,,,,,,,,,
